id,target
0,6
2,3
3,9
9,-7
11,10
12,5
21,-2
22,1
27,-6
29,-6
30,-5
35,-13
42,-5
43,-4
45,-3
46,1
47,-9
51,0
58,-6
60,0
69,-4
70,-6
72,-10
75,5
84,-2
87,2
88,-7
90,-3
94,-3
99,6
101,-5
103,2
106,1
108,-9
111,5
115,-8
116,0
122,-4
123,-3
124,8
125,-10
127,3
140,0
142,8
147,-9
148,1
150,-3
152,-10
154,-4
155,-11
166,-7
167,-6
169,0
177,-10
179,-4
181,-4
186,-3
188,6
189,-12
192,-6
200,6
202,3
206,0
207,3
214,3
217,10
223,-1
224,14
227,-6
228,-2
230,-2
233,-2
234,10
236,7
239,10
250,15
255,-4
257,-8
259,0
275,0
278,-5
282,-6
284,-2
286,0
288,15
292,8
295,-11
300,1
304,8
305,8
306,7
308,-4
311,-7
317,-5
319,-1
323,-9
324,-6
325,0
326,-1
333,-10
339,3
342,-4
343,-4
350,3
351,5
357,-2
359,-3
362,-7
366,0
367,-2
369,0
373,-3
374,0
376,-3
377,-3
378,-1
379,-4
382,-1
385,-1
387,0
388,-3
391,0
392,-1
395,-3
399,-5
400,-9
403,-11
405,0
408,-15
411,0
414,-1
416,-7
417,-3
422,-2
425,-8
428,-2
430,-2
431,-11
433,-5
434,-11
439,-8
441,-11
449,-9
458,1
460,-3
464,-8
473,0
488,-11
491,-7
494,-7
497,-13
500,-1
505,-1
507,-8
508,-2
510,-10
511,-9
515,6
525,0
529,-2
532,-3
534,-3
537,-2
539,1
541,0
545,-7
547,-2
548,11
549,6
553,11
554,-1
555,1
557,-6
562,2
566,0
572,0
573,4
582,0
586,-1
587,0
590,14
591,-2
593,-7
595,-6
596,5
597,-3
601,2
602,-5
605,2
610,0
616,-2
618,5
620,7
626,-8
627,-7
629,-3
632,4
634,-4
639,0
645,12
647,4
648,-7
650,7
663,-7
666,-2
668,-5
670,-6
673,8
676,-1
678,-10
692,-6
693,-4
694,-5
695,-3
696,10
698,-6
701,-7
703,10
707,11
708,6
711,12
715,11
718,-7
722,-7
723,-8
733,12
741,-1
742,12
743,0
747,-11
749,-1
750,-6
756,-2
757,-1
760,-5
764,-7
765,3
766,-7
768,-8
769,-4
771,-11
772,-7
776,-12
778,-1
780,0
785,0
789,-3
792,-5
793,2
811,10
813,-5
816,-3
821,-6
824,-7
825,-7
827,-7
830,3
831,0
839,0
844,0
847,-1
850,-2
854,0
855,11
858,0
861,2
862,-6
865,2
869,-4
879,-6
880,4
887,-5
889,7
897,-2
900,0
901,0
904,-1
908,-6
909,-4
910,7
913,1
914,2
917,-4
918,7
920,-2
922,0
924,0
925,-4
927,0
933,-6
937,-3
943,-8
949,-4
950,9
954,-9
966,-7
967,-7
969,4
970,4
973,-6
975,-4
980,-1
988,-11
989,-10
995,3
1000,-8
1003,-7
1007,-4
1011,-8
1012,-4
1013,-5
1014,-9
1016,8
1019,-7
1025,-5
1027,-8
1028,7
1030,-9
1033,1
1034,-4
1039,3
1046,-7
1047,-8
1053,4
1055,-7
1056,-7
1059,5
1060,-8
1063,-7
1064,-2
1068,-7
1076,-5
1086,-7
1087,-4
1089,-8
1092,-4
1095,-5
1096,-7
1097,-4
1100,-8
1101,-7
1107,-4
1108,-10
1111,-10
1115,-9
1116,0
1121,-5
1125,-9
1127,-8
1131,-5
1133,0
1135,-8
1137,-5
1140,-1
1144,-6
1147,3
1148,-4
1150,0
1158,-7
1159,-10
1161,-5
1163,-4
1165,-10
1169,5
1171,-6
1172,-8
1176,0
1180,4
1184,0
1186,3
1187,-7
1192,-8
1193,-2
1194,0
1197,-5
1200,6
1205,-7
1210,-7
1216,-5
1220,-5
1231,-2
1233,-7
1246,-10
1247,-6
1248,-8
1255,-1
1256,-8
1257,-10
1258,-6
1260,1
1261,-11
1265,-9
1266,-11
1268,-4
1274,-9
1281,-10
1285,-7
1286,-10
1291,-9
1292,-6
1295,-10
1299,-9
1306,-6
1310,-5
1311,-11
1313,-11
1314,-10
1322,-7
1323,-11
1325,-14
1329,0
1330,-8
1333,-4
1336,-11
1339,-3
1342,-10
1344,-8
1355,12
1357,-10
1358,-3
1359,-8
1364,-10
1366,-3
1367,0
1370,1
1373,-1
1377,-4
1386,-9
1387,-8
1392,0
1397,-13
1398,-11
1400,-9
1403,0
1404,-5
1410,-7
1413,-9
1416,-6
1417,-6
1423,-5
1424,-2
1426,0
1427,-13
1428,-11
1430,-1
1434,-10
1435,-8
1437,-8
1438,-10
1442,-6
1446,0
1451,-5
1457,3
1461,0
1462,2
1465,-6
1468,-6
1469,-4
1471,-4
1476,-8
1478,-5
1481,-6
1489,-3
1490,-5
1492,-4
1496,-6
1512,-10
1516,-1
1517,-9
1528,-13
1529,1
1536,18
1539,-8
1541,-3
1542,-9
1548,4
1550,0
1551,1
1552,-2
1557,7
1563,-7
1564,-6
1565,-8
1566,9
1571,-7
1578,-11
1581,-4
1583,-3
1584,1
1586,11
1589,-6
1592,4
1598,10
1606,-8
1612,-6
1616,3
1620,-6
1624,-10
1629,10
1630,3
1635,11
1640,19
1641,14
1642,12
1651,12
1655,13
1656,6
1659,5
1664,17
1667,16
1668,10
1674,6
1678,-4
1680,14
1681,10
1682,9
1685,1
1695,14
1696,4
1697,-3
1704,6
1708,3
1711,13
1713,8
1714,1
1717,9
1729,2
1730,-10
1732,7
1734,6
1736,-9
1738,3
1742,-10
1743,-1
1746,-12
1748,10
1749,3
1751,0
1758,0
1764,12
1765,0
1777,11
1778,4
1781,0
1782,3
1783,8
1785,1
1788,2
1793,9
1794,1
1795,10
1797,5
1800,11
1801,7
1805,6
1806,0
1819,5
1820,7
1825,5
1828,-2
1829,-7
1830,-1
1839,-7
1843,-6
1844,-11
1846,-3
1849,1
1850,-9
1854,-10
1855,-5
1858,0
1859,-10
1862,2
1867,-5
1868,-8
1871,-7
1872,-6
1874,5
1876,-1
1879,-2
1884,0
1891,-2
1894,-5
1896,2
1902,-3
1903,-12
1904,-2
1906,-2
1907,-1
1912,-5
1913,-6
1923,0
1926,-3
1928,-1
1930,6
1931,-5
1934,2
1936,6
1944,7
1946,-5
1947,0
1958,4
1964,-6
1970,0
1974,-8
1977,7
1978,3
1982,6
1984,9
1988,0
1993,-4
1997,0
1998,6
2002,-9
2004,4
2005,2
2008,-4
2011,11
2013,0
2018,7
2021,11
2025,-3
2029,7
2030,12
2032,5
2037,7
2041,-5
2044,-6
2048,10
2052,6
2053,7
2054,13
2062,-2
2065,4
2066,-5
2072,-1
2079,1
2080,4
2085,-8
2088,6
2090,-1
2092,3
2093,-2
2101,2
2104,-3
2105,1
2106,4
2107,0
2120,-3
2124,1
2127,-11
2130,-9
2132,-14
2135,-12
2137,-5
2140,-7
2143,-2
2147,-6
2151,-2
2152,2
2155,-4
2156,-8
2162,0
2165,8
2166,3
2167,0
2168,-7
2170,-2
2178,11
2180,8
2182,0
2184,-6
2185,0
2187,3
2196,-5
2197,5
2199,1
2200,-10
2201,-9
2202,3
2206,-2
2208,5
2218,-9
2223,5
2224,2
2226,-4
2228,1
2232,0
2234,-4
2243,-2
2247,-2
2249,0
2252,-1
2253,6
2259,-11
2261,-9
2264,-4
2268,-6
2269,-5
2270,-2
2276,10
2283,-8
2287,8
2290,-10
2291,-7
2293,-4
2295,-1
2302,-1
2305,0
2310,8
2313,0
2316,4
2320,-8
2322,2
2323,10
2326,1
2328,10
2331,-8
2335,8
2338,2
2343,0
2344,-1
2345,-3
2353,9
2355,-1
2357,-4
2360,7
2365,-4
2369,-1
2371,1
2378,0
2380,1
2381,-10
2383,10
2384,3
2392,0
2393,5
2401,6
2403,1
2404,-6
2405,-9
2407,-10
2411,-7
2424,-10
2426,-5
2431,3
2433,-1
2434,-4
2436,0
2439,6
2444,-4
2447,-6
2448,-10
2449,-7
