id,target
0,15
2,11
3,20
9,-19
11,26
12,9
21,-11
22,6
27,-11
29,-13
30,-18
35,-30
42,-17
43,-8
45,-13
46,-6
47,-18
51,7
58,-15
60,0
69,-8
70,-8
72,-26
75,15
84,0
87,3
88,-19
90,-9
94,-7
99,13
101,-15
103,4
106,2
108,-25
111,15
115,-16
116,0
122,-4
123,-13
124,23
125,-22
127,6
140,4
142,23
147,-21
148,7
150,-18
152,-17
154,-10
155,-20
166,-12
167,-14
169,-8
177,-17
179,-20
181,-14
186,-2
188,11
189,-24
192,-23
200,12
202,3
206,4
207,-1
214,10
217,22
223,-3
224,32
227,-21
228,-14
230,-5
233,-6
234,23
236,15
239,23
250,24
255,-20
257,-18
259,-7
275,-3
278,-22
282,-13
284,-11
286,-2
288,23
292,14
295,-23
300,9
304,19
305,23
306,14
308,-10
311,-20
317,-9
319,-6
323,-18
324,-14
325,-1
326,-7
333,-22
339,9
342,-10
343,-21
350,11
351,6
357,-6
359,-6
362,-16
366,0
367,-1
369,-1
373,-6
374,8
376,-3
377,-5
378,-2
379,-1
382,-5
385,-3
387,3
388,-7
391,0
392,-3
395,-8
399,-3
400,-14
403,-23
405,-7
408,-30
411,-4
414,5
416,-26
417,-6
422,-7
425,-20
428,1
430,-5
431,-18
433,-13
434,-20
439,-17
441,-23
449,-16
458,3
460,2
464,-19
473,0
488,-25
491,-16
494,-21
497,-27
500,2
505,1
507,-16
508,-10
510,-25
511,-18
515,12
525,-2
529,0
532,-4
534,-5
537,-16
539,0
541,2
545,-17
547,-10
548,28
549,14
553,27
554,-5
555,10
557,-14
562,9
566,4
572,4
573,16
582,4
586,-5
587,0
590,34
591,0
593,-16
595,-15
596,11
597,-7
601,10
602,-2
605,5
610,-3
616,-6
618,0
620,13
626,-23
627,-15
629,9
632,10
634,-9
639,-7
645,29
647,11
648,-12
650,14
663,-13
666,-3
668,-14
670,-12
673,21
676,-8
678,-26
692,-17
693,-12
694,-14
695,-10
696,18
698,-19
701,-20
703,18
707,20
708,19
711,24
715,21
718,-21
722,-5
723,-17
733,23
741,-4
742,23
743,2
747,-23
749,-11
750,-12
756,1
757,9
760,-19
764,-15
765,5
766,-14
768,-22
769,-11
771,-17
772,-23
776,-17
778,0
780,9
785,5
789,-15
792,-16
793,8
811,21
813,-10
816,13
821,-8
824,-16
825,-15
827,-4
830,14
831,2
839,2
844,-2
847,-7
850,-1
854,8
855,31
858,-7
861,11
862,-21
865,4
869,-13
879,-17
880,4
887,-11
889,19
897,-12
900,-6
901,6
904,-5
908,-15
909,-8
910,19
913,6
914,2
917,-11
918,20
920,-4
922,0
924,0
925,-5
927,0
933,-6
937,-16
943,-10
949,-6
950,17
954,-19
966,-9
967,-24
969,7
970,0
973,-21
975,-3
980,-4
988,-35
989,-21
995,8
1000,-10
1003,-13
1007,-9
1011,-20
1012,-1
1013,-7
1014,-15
1016,15
1019,-17
1025,-13
1027,-20
1028,17
1030,-20
1033,1
1034,-11
1039,9
1046,-12
1047,-22
1053,16
1055,-12
1056,-15
1059,3
1060,-7
1063,-15
1064,-2
1068,-13
1076,-11
1086,-14
1087,-7
1089,-20
1092,-11
1095,-1
1096,-14
1097,-12
1100,-22
1101,-16
1107,-2
1108,-16
1111,-24
1115,-22
1116,3
1121,-10
1125,-17
1127,-16
1131,-12
1133,-3
1135,-18
1137,-6
1140,-2
1144,-16
1147,6
1148,-10
1150,2
1158,-15
1159,-18
1161,-7
1163,-8
1165,-18
1169,16
1171,-20
1172,-15
1176,-2
1180,9
1184,-7
1186,7
1187,-18
1192,-11
1193,-4
1194,7
1197,-3
1200,15
1205,-13
1210,-18
1216,-10
1220,-9
1231,-8
1233,-29
1246,-17
1247,-7
1248,-14
1255,1
1256,-16
1257,-20
1258,-14
1260,12
1261,-23
